B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.AB.2934.03A	0.0327383685111241	0.0356634217447899	0.00439488051781311	0	0.0179263809593022	0.0448618128826139	0.0159148885772555	0	0.0122118427509094	0	0.0411316563513401	0	0.751659438311888	0	0	0.0199115595662269	0	0	0.0235857498267368	0	0	0	0	0.583071112024742	0.813530757909543
TCGA.AB.2919.03A	0.100706951090618	0	0.202531361171448	0.0817356985375296	0.132295902626376	0.064053667926323	0	0	0.0106033610072313	0	0.0320475121034373	0	0.0115854010073575	0	0	0.0168405979011785	0	0.0096063567609419	0.295431356517602	0.0278146564225434	0.0147471769274137	0	0.00900000000000001	0.297683692675468	0.980283820366467
TCGA.AB.3000.03A	0	0.214975677840074	0	0.000271753573606254	0	0.0660318878134933	0	0	0	0	0.13942616569474	0	0.332279169292646	0	0	0.0824713916735318	0	0	0.122401629404245	0.0216645532095947	0.0204777714980685	0	0.00800000000000001	0.314412591904426	0.956508199565491
TCGA.AB.2973.03A	0.0528281780624369	0	0.0137093948188668	0.0264224041083329	0.000509808860368744	0.0336484938391948	0.0162602970479438	0	0.000710158054503021	0	0.0247716185274085	0	0.739307697894574	0.00680854068124382	0	0.00451458870845711	0	0	0.0375784867200766	0	0.0429303326765932	0	0	0.690626365823739	0.727632585270015
TCGA.AB.2924.03A	0.0164131061960604	0.0143160718077837	0	0.01411316317751	0.0316320905920208	0.0242091136856026	0.0211563220544957	0	0.0118645604883873	0	0.0473613718204012	0	0.650720075307747	0	0.000673364777419404	0.0485008912176255	0	0	0.0462788248750718	0	0.042323598411402	0.0304374455884729	0.003	0.350265407661138	0.963551189598034
TCGA.AB.2915.03A	0.0527881569168468	0	0.0296705894013766	0.130907318140095	0	0	0.0167231726569	0	0.0103221000409061	0	0.0294382694410807	0.000503921835464561	0.555069296010442	0.0293030394024724	0	0	0	0.00147134991242538	0.0543693135950583	0	0.0219236762585874	0.0675097963883448	0	0.520307865855844	0.853588940465824
TCGA.AB.2952.03B	0.137609486367921	0	0.0582109051365374	0.0733026391073748	0.000732079221227591	0.0726042233498535	0	0	0.0735730922557627	0	0.0799276144951961	0	0.432189479116341	0	0	0.0136282666600143	0	0	0.022808805364223	0.0103545379614476	0.0250588709641017	0	0	0.456236915652502	0.889287099898806
TCGA.AB.2938.03A	0.136085699620142	0	0.0395144655354461	0.213375775982927	0	0.243705166284254	0.0150431329890843	0	0.00565151041033236	0.032035306854066	0	0.00297484381582684	0.183714713329979	0	0.00259616038443917	0.0528310013194067	0	0	0.0475978698704712	0.00893203653305893	0.0159423170705666	0	0.015	0.253511002698812	0.988464609661832
TCGA.AB.2935.03A	0	0.0170117279156002	0.0818044117748096	0.122295469205051	0	0.138762224009117	0.00329996781480402	0	0	0	0.0946766129494093	0.000480427685815966	0.329124618274328	0	0.00454025644297945	0.0252556342690155	0	0	0.108071726037893	0	0.0746769236211761	0	0.019	0.226202452329315	0.993237240997451
TCGA.AB.2823.03A	0.00947726192093293	0.0251593271903354	0	0.076246502092516	0	0.0711402095685119	0	0	0.00393571998763506	0	0.0637656134038146	0	0.142158104055687	0	0	0.0432257143386466	0	0	0.530346013273777	0	0.0344852198442761	6.03143238669115e-05	0.02	0.222001263644387	1.02928381197248
